Ref,Val,Package,PosX,PosY,Rot,Side
"C21","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",39.530000,-58.080000,90.000000,bottom
"C22","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",41.460000,-38.060000,180.000000,bottom
"C23","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",42.070000,-35.530000,270.000000,bottom
"C24","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",26.050000,-44.480000,270.000000,bottom
"C25","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",27.170000,-63.370000,270.000000,bottom
"C29","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",23.580000,-43.950000,0.000000,bottom
"C30","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",39.730000,-54.670000,90.000000,bottom
